Titolo;Funzione;Intervento;Cod Mecc;Capitolo;Denominazione ;Imp.prev. 2012;Imp.prev. 2013;Imp.prev. 2014
1;1;3;1010103;U01100000;COMPENSO AI COMPONENTI IL COLLEGIO DEI REVISORI DEI CONTI DEL COMUNE;78242,68;78242,68;78242,68
1;1;3;1010103;U01300000;PRESTAZIONI DI SERVIZI: FUNZIONAMENTO DEGLI ORGANI ISTITUZIONALI E DEI;100000;100000;100000
1;1;3;1010103;U01300100;PRESTAZIONI DI SERVIZI: INDENNITA' DEL GARANTE PER I DIRITTI DELLE;22500;22500;22500
1;1;3;1010103;U01350000;PRESTAZIONI DI SERVIZI VARI PER GLI ORGANI ISTITUZIONALI;70000;70000;70000
1;1;3;1010103;U01500050;ORGANI ISTITUZIONALI - GABINETTO: PRESTAZIONI DI SERVIZI VARI;325000;325000;325000
1;1;3;1010103;U01700000;ELEZIONI E REFERENDUM: ONERI DIVERSI A CARICO DEL COMUNE;0;0;0
1;1;3;1010103;U01700050;ELEZIONI DEGLI ORGANI CONSULTIVI DEI CITTADINI STRANIERI IMMIGRATI:;0;0;0
1;1;3;1010103;U01800000;SERVIZI DI COMUNICAZIONE: PRESTAZIONI DI SERVIZI;307560;307560;307560
1;1;3;1010103;U01810000;"REIMPIEGO CONTRIBUTO DELLA REGIONE PER IL PROGETTO ""POWER - PORTALI WEB";0;0;0
1;1;3;1010103;U01840000;REIMPIEGO DEI FONDI DELLA COMMISSIONE EUROPEA, TRAMITE LA REGIONE, PER;0;0;0
1;1;3;1010103;U01850000;REIMPIEGO DEL CONTRIBUTO DI ALTRI ENTI PUBBLICI - CNIPA - PER LA;0;0;0
1;1;3;1010103;U01900100;REIMPIEGO DEL CONTRIBUTO DELLO STATO, MINISTERO DEL LAVORO E DELLE;0;0;0
1;1;3;1010103;U01950000;REIMPIEGO DEI CONTRIBUTI DELL'UNIONE EUROPEA PER L'ATTUAZIONE DI;0;0;0
1;1;3;1010103;U02000000;REIMPIEGO DEI CONTRIBUTI DELL'UNIONE EUROPEA TRAMITE OMEGA GENERATION;0;0;0
1;1;3;1010103;U02050000;SPESE PER TELECOMUNICAZIONI: ORGANI ISTITUZIONALI, PARTECIPAZIONE E;238923;238923;238923
1;1;3;1010103;U02060000;SERVIZI DIVERSI E SPESE ECONOMALI VARIE PER LA GESTIONE DI IMMOBILI;50000;50000;50000
1;1;3;1010103;U02100050;PRESTAZIONI DI SERVIZI: FESTE NAZIONALI E SOLENNITA' CIVILI, CONGRESSI,;3000;3000;3000
1;1;3;1010103;U02100100;PRESTAZIONI DI SERVIZI: ORGANI ISTITUZIONALI;368000;368000;368000
1;1;3;1010103;U02100150;PRESTAZIONI DI SERVIZI: PARTECIPAZIONE, DECENTRAMENTO E QUARTIERI;0;0;0
1;1;4;1010104;U02200000;FITTI DI IMMOBILI;357000;290000;296000
1;1;5;1010105;U02300050;ORGANI ISTITUZIONALI - GABINETTO: TRASFERIMENTI VARI;224000;224000;224000
1;1;5;1010105;U02300100;ORGANI ISTITUZIONALI - GABINETTO: TRASFERIMENTI ALLE AMMINISTRAZIONI;104000;104000;104000
1;1;5;1010105;U02300200;ORGANI ISTITUZIONALI - GABINETTO: REIMPIEGO CONTRIBUTI DELLE FONDAZIONI;0;0;0
1;1;5;1010105;U02350000;TRASFERIMENTI E CONTRIBUTI PER ATTIVITA' ISTITUZIONALI;3500;3500;3500
1;1;5;1010105;U02420000;"REIMPIEGO CONTRIBUTO DELLA REGIONE PER IL PROGETTO ""POWER - PORTALI WEB";0;0;0
1;1;6;1010106;U02700000;INTERESSI PASSIVI - PARTECIPAZIONE E DECENTRAMENTO;121481,18;100317,77;84095,25
1;1;1;1010201;U02900000;SPESE DI PERSONALE - SEGRETERIA GENERALE E ORGANIZZAZIONE;2850000;2950000;2950000
1;1;1;1010201;U02900010;SPESE DI PERSONALE - RISORSE UMANE;4215000;4215000;4215000
1;1;1;1010201;U03100050;ALTRE SPESE PER IL PERSONALE;20000;20000;20000
1;1;1;1010201;U03200000;SPESE PER IL PERSONALE IN QUIESCENZA;800000;800000;800000
1;1;1;1010201;U03400000;REGOLARIZZAZIONI ARRETRATE DI SPESE DI PERSONALE;0;0;0
1;1;1;1010201;U03600000;SPESE PER IL PERSONALE COMANDATO PRESSO ALTRI ENTI;627000;422000;422000
1;1;2;1010202;U03700050;PERSONALE E ORGANIZZAZIONE: SPESE DI FUNZIONAMENTO ECONOMALI;22400;22400;22400
1;1;2;1010202;U03800000;SPESE DI FUNZIONAMENTO ECONOMALI PER LE ATTIVITA' ISTITUZIONALI;13000;13000;13000
1;1;2;1010202;U03900000;SEGRETERIA GENERALE: SPESE DI FUNZIONAMENTO ECONOMALI;22000;22000;22000
1;1;3;1010203;U04100050;PERSONALE E ORGANIZZAZIONE: SPESE PER PRESTAZIONI DI SERVIZI DIVERSI;319600;319600;319600
1;1;3;1010203;U04100200;PERSONALE E ORGANIZZAZIONE: REIMPIEGO CONTRIBUTO DELLE FONDAZIONI PER LA;0;0;0
1;1;3;1010203;U04300000;SPESE PER PASTI AL PERSONALE;1710000;1710000;1710000
1;1;3;1010203;U04350000;TRATTAMENTO DI MISSIONE E RIMBORSI SPESE VIAGGI;128377,45;128377,45;128377,45
1;1;3;1010203;U04400050;PRESTAZIONI DI SERVIZI: SPESE VARIE PER LE ATTIVITA' ISTITUZIONALI;0;0;0
1;1;3;1010203;U04400060;PRESTAZIONI DI SERVIZI: SPESE VARIE PER L'UFFICIO DEL DIFENSORE CIVICO;22500;22500;22500
1;1;3;1010203;U04400100;PRESTAZIONI DI SERVIZI: SPESE PER COMPITI ISTITUZIONALI E SERVIZI;29500;29500;29500
1;1;4;1010204;U04700000;FITTI DI IMMOBILI;112500;114500;116500
1;1;5;1010205;U04800000;ATTIVITA' SOCIALI ED ASSISTENZIALI A FAVORE DEL PERSONALE DIPENDENTE;51646;51646;51646
1;1;5;1010205;U04850000;VERSAMENTO ALL'AGENZIA PER LA GESTIONE DELL'ALBO DEI SEGRETARI COMUNALI;0;0;0
1;1;5;1010205;U04860000;TRASFERIMENTI E QUOTE ASSOSIATIVE;0;0;0
1;1;5;1010205;U04900000;EROGAZIONE DEI DIRITTI DI SEGRETERIA: QUOTA A FAVORE DELL'AGENZIA PER LA;22000;22000;22000
1;1;8;1010208;U04950000;REGOLARIZZAZIONI ARRETRATE RELATIVE AL PERSONALE;200000;200000;200000
1;1;1;1010301;U05100000;SPESE DI PERSONALE;3496000;3617000;3617000
1;1;2;1010302;U05200000;PROGRAMMAZIONE - STATISTICA: SPESE DI FUNZIONAMENTO ECONOMALI;0;0;0
1;1;2;1010302;U05250000;CONTROLLI: SPESE DI FUNZIONAMENTO ECONOMALI;7000;7000;7000
1;1;2;1010302;U05300000;SPESE DI FUNZIONAMENTO ECONOMALI PER LA RAGIONERIA;9000;9000;9000
1;1;2;1010302;U05400000;VESTIARIO PER IL PERSONALE;160000;160000;160000
1;1;2;1010302;U05500000;ACQUISTO DI BENI DI CONSUMO PER IL FUNZIONAMENTO DEL SETTORE GARE;25000;25000;25000
1;1;2;1010302;U05500050;ACQUISTO DI BENI DI CONSUMO PER UFFICI E SERVIZI;58000;58000;58000
1;1;2;1010302;U05500100;ACQUISTO DI BENI DI CONSUMO PER UFFICI E SERVIZI TRAMITE PROCEDURA;290904,03;290904,03;290904,03
1;1;3;1010303;U05600000;PROGRAMMAZIONE - STATISTICA: PRESTAZIONI DI SERVIZI VARI;0;0;0
1;1;3;1010303;U05620000;CONTROLLI: PRESTAZIONI DI SERVIZI VARI;7000;7000;7000
1;1;3;1010303;U05650000;ONERI PREVIDENZIALI A CARICO DELL'ENTE PER COLLABORAZIONI OCCASIONALI;40000;40000;40000
1;1;3;1010303;U05700000;PRESTAZIONI DI SERVIZI VARI DELLA RAGIONERIA;83000;83000;83000
1;1;3;1010303;U05720000;SPESE VARIE DI RISCOSSIONE PER PAGAMENTI EFFETTUATI TRAMITE INTERNET;30000;30000;30000
1;1;3;1010303;U05800000;SPESE ASSICURATIVE DIVERSE: PREMI, CONGUAGLI, FRANCHIGIE E ONERI;3187500;2305000;2305000
1;1;3;1010303;U05900050;PRESTAZIONI DI SERVIZI: SERVIZI VARI PER IL FUNZIONAMENTO DEL SETTORE;10000;10000;10000
1;1;3;1010303;U06000050;PRESTAZIONI DI SERVIZI VARI: LAVORI, MANODOPERA, MANUTENZIONI, MEZZI DI;3846500;3742500;3742500
1;1;3;1010303;U06100000;RIPRISTINO DI AUTO-MOTOVEICOLI COMUNALI DANNEGGIATI DA PRIVATI;0;0;0
1;1;4;1010304;U06200000;FITTI DI IMMOBILI (PROGRAMMAZIONE, PROVVEDITORATO E SERVIZIO;92000;93800;95600
1;1;5;1010305;U06400000;EROGAZIONE PER OFFICIATURA NELLA CHIESA DI S.GIROLAMO E MESSE PER VOTO;103,29;103,29;103,29
1;1;6;1010306;U06500000;INTERESSI PER IL PREAMMORTAMENTO E ONERI FINANZIARI DIVERSI;490000;490000;490000
1;1;6;1010306;U06510000;ONERI FINANZIARI PER ANTICIPAZIONI RECUPERO I.V.A. ALLA SOCIETA' RETI E;0;0;0
1;1;6;1010306;U06600000;INTERESSI PASSIVI PER ANTICIPAZIONI DI TESORERIA;0;0;0
1;1;7;1010307;U06700000;IMPOSTE, SOVRIMPOSTE, TASSE, CONTRIBUTI, ECC.;100000;100000;100000
1;1;7;1010307;U06800000;VERSAMENTO I.V.A. AL II UFFICIO DELLE ENTRATE PER ATTIVITA' SOGGETTE AL;5562937,65;3565488,85;3290340,39
1;1;7;1010307;U06850000;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP);380000;380000;380000
1;1;7;1010307;U06850010;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE BORSE DI;0;0;0
1;1;7;1010307;U06850020;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE BORSE DI;19428,58;19428,58;19428,58
1;1;7;1010307;U06850050;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;9214754;9154754;9154754
1;1;7;1010307;U06850100;IMPOSTA REGIONALE SULLE ATTVIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850105;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850110;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850120;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850130;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850135;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850150;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850155;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850160;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850165;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850170;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850175;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE COMPETENZE ED;9586;9586;9586
1;1;7;1010307;U06850180;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SUI COMPENSI;0;0;0
1;1;7;1010307;U06850185;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850190;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850195;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850200;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850205;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP)SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850210;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850215;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;20692;20692;20692
1;1;7;1010307;U06850220;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850225;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850230;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850235;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850240;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850245;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850250;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850255;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850260;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850265;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;318;318;318
1;1;7;1010307;U06850275;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850280;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850285;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850290;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850295;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850300;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850305;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850310;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850315;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850320;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850325;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850330;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850335;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850340;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850345;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850350;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850355;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850360;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850365;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850370;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE BORSE DI;0;0;0
1;1;7;1010307;U06850375;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850380;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850385;IMPOSTA REGIONALE SULLE ATTIVITA' OPERATIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850390;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850395;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850400;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850405;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850410;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850415;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850420;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;46090,84;0;0
1;1;7;1010307;U06850425;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850430;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE COMPETENZE ED;7000;7000;7000
1;1;7;1010307;U06850435;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SUI COMPENSI;4250;4250;4250
1;1;7;1010307;U06850440;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SUI COMPENSI;0;0;0
1;1;7;1010307;U06850445;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SULLE RETRIBUZIONI;0;0;0
1;1;7;1010307;U06850450;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SUI COMPENSI;0;0;0
1;1;7;1010307;U06850455;IMPOSTA REGIONALE SULLE ATTIVITA' PRODUTTIVE (IRAP) SUI COMPENSI;0;0;0
1;1;7;1010307;U06900000;IMPOSTE E TASSE - SETTORE GARE;30000;30000;30000
1;1;1;1010401;U07100000;SPESE DI PERSONALE;1027000;1010000;1010000
1;1;1;1010401;U07110000;FONDO INCENTIVANTE PER IL RECUPERO EVASIONE I.C.I.;62500;62500;62500
1;1;2;1010402;U07200000;SPESE DI FUNZIONAMENTO ECONOMALI E ACQUISTO BENI DI CONSUMO PER LA;20400;20400;20400
1;1;3;1010403;U07300000;GESTIONE OPERATIVA DELLE BANCHE DATI DEI TRIBUTI COMUNALI E ATTIVITA';1657600;1607600;1607600
1;1;3;1010403;U07300050;GESTIONE OPERATIVA DELLE BANCHE DATI DEI TRIBUTI COMUNALI E ATTIVITA';4400000;4000000;4000000
1;1;3;1010403;U07300100;GESTIONE OPERATIVA DELLE BANCHE DATI DEI TRIBUTI COMUNALI E ATTIVITA';0;0;0
1;1;3;1010403;U07310000;REIMPIEGO CONTRIBUTO DELLA PRESIDENZA DEL CONSIGLIO DEI MINISTRI -;0;0;0
1;1;3;1010403;U07400000;PRESTAZIONI DI SERVIZI PER LA GESTIONE DEI TRIBUTI COMUNALI: INCARICHI;10000;10000;10000
1;1;3;1010403;U07400050;PRESTAZIONI DI SERVIZI PER LA GESTIONE DEI TRIBUTI COMUNALI: SPESE DI;7000;7000;7000
1;1;3;1010403;U07500000;ONERI DIVERSI PER LA RISCOSSIONE DEI TRIBUTI E DELLE ENTRATE;2313000;2313000;2313000
1;1;3;1010403;U07550000;SPESE PER TELECOMUNICAZIONI: ENTRATE TRIBUTARIE E SERVIZI FISCALI;15919;15919;15919
1;1;3;1010403;U07600000;PRESTAZIONI DI SERVIZI: SPESE ECONOMALI VARIE (ENTRATE TRIBUTARIE E;7000;7000;7000
1;1;5;1010405;U07800000;QUOTA DELL'IMPOSTA COMUNALE PER L'ESERCIZIO DI IMPRESE, ARTI E;500;500;500
1;1;5;1010405;U07810000;REIMPIEGO DEL CONTRIBUTO DELLA PRESIDENZA DEL CONSIGLIO DEI MINISTRI -;0;0;0
1;1;8;1010408;U07900000;SGRAVI, RIMBORSI E VERSAMENTI DI SOMME DOVUTE DALL'AMMINISTRAZIONE;1484000;1484000;1484000
1;1;8;1010408;U08000000;LITI, TRANSAZIONI ED ONERI CONSEGUENTI RELATIVI ALLA GESTIONE DEI;10000;10000;10000
1;1;1;1010501;U08200000;SPESE DI PERSONALE;1172000;1072000;1072000
1;1;2;1010502;U08300000;GESTIONE PATRIMONIO: SPESE DI FUNZIONAMENTO ECONOMALI (ACQUISTO DI BENI;21385;21385;21385
1;1;2;1010502;U08400000;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;0;0;0
1;1;2;1010502;U08400050;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;0;0;0
1;1;2;1010502;U08400100;INTERVENTI PER IL DECORO URBANO: ACQUISTO BENI DI CONSUMO;0;0;0
1;1;3;1010503;U08500000;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;0;0;0
1;1;3;1010503;U08600000;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;5720969,88;4720969,88;4720969,88
1;1;3;1010503;U08600050;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;0;0;0
1;1;3;1010503;U08600100;CONSERVAZIONE, MANUTENZIONE ED INTERVENTI VARI RELATIVI AGLI IMMOBILI ED;10000;10000;10000
1;1;3;1010503;U08600150;INTERVENTI PER IL DECORO URBANO - REIMPIEGO CONTRIBUTO DELLA FONDAZIONE;0;0;0
1;1;3;1010503;U08600160;INTERVENTI PER IL DECORO URBANO - REIMPIEGO CONTRIBUTI DI PRIVATI;0;0;0
1;1;3;1010503;U08600170;INTERVENTI PER IL DECORO URBANO - REIMPIEGO CONTRIBUTO DELLE ASP;0;0;0
1;1;3;1010503;U08600180;INTERVENTI PER IL DECORO URBANO: PRESTAZIONI DI SERVIZI;0;0;0
1;1;3;1010503;U08610000;INTERVENTI VARI DI MANUTENZIONE SULL'IMMOBILE DI VIA CASARINI, 17/5;0;0;0
